chunk_id,text,metadata
nslds_ia_001,"In Iowa, the student loan cohort default rate for public 4-year institutions has historically averaged around 4-5%. Borrowers struggling with repayment in Iowa should explore Income-Driven Repayment (IDR) plans to avoid default.","{""source"": ""National Student Loan Data System"", ""state"": ""Iowa"", ""topic"": ""default rates"", ""institution_type"": ""public 4-year""}"
nslds_ia_002,"Iowa community colleges see varying cohort default rates, often higher than 4-year universities. It is critical for recent Iowa graduates with associate degrees to immediately assess grace periods and contact their loan servicers.","{""source"": ""National Student Loan Data System"", ""state"": ""Iowa"", ""topic"": ""default rates"", ""institution_type"": ""community college""}"
kgl_sl_001,"Average student loan balance for borrowers under 35 in Iowa is approximately $30,700. For a $30,700 loan at a 5.05% interest rate on a standard 10-year repayment plan, the monthly payment is roughly $326. Over 10 years, total interest paid would be around $8,400.","{""source"": ""omarsobhy14/student-loans"", ""state"": ""Iowa"", ""topic"": ""loan calculator"", ""demographic"": ""under 35""}"
kgl_sl_002,"Interest rates for undergraduate federal direct loans have varied between 3.73% to over 5% in recent years. An Iowa borrower with a $25,000 balance at 4.5% interest will pay about $259 monthly on a 10-year standard plan.","{""source"": ""omarsobhy14/student-loans"", ""state"": ""Iowa"", ""topic"": ""interest rates"", ""demographic"": ""undergraduate""}"
kgl_sl_003,"If an Iowa borrower pays 8% of a typical $50,000 starting salary ($333/month) toward a $30,000 loan at 5% interest, it will take them roughly 9.5 years to become debt-free.","{""source"": ""omarsobhy14/student-loans"", ""state"": ""Iowa"", ""topic"": ""repayment scenarios"", ""demographic"": ""recent graduate""}"
fred_sl_001,"Federal Reserve Economic Data (FRED) indicates a steady increase in total student loans owned and securitized nationally, surpassing $1.7 trillion. In Iowa, total outstanding federal and private student debt sits at approximately $13.2 billion.","{""source"": ""Federal Reserve Economic Data"", ""state"": ""Iowa"", ""topic"": ""macro debt levels""}"
fred_sl_002,"Securitized student loans represent debt bundled and sold to investors. While federal student loans offer protections like IDR and deferment, securitized private loans often lack these flexible repayment options, making them a higher risk for Iowa borrowers experiencing job loss.","{""source"": ""Federal Reserve Economic Data"", ""state"": ""Iowa"", ""topic"": ""private vs federal loans""}"
iowa_stats_2025_001,"As of 2025, the average student loan debt in Iowa is $30,698. There are approximately 430,000 student borrowers living in Iowa, collectively holding $13.2 billion in student loan debt. Notably, 52.9% of these borrowers are under the age of 35.","{""source"": ""Education Data Initiative (2025)"", ""state"": ""Iowa"", ""topic"": ""debt statistics"", ""demographic"": ""under 35""}"
iowa_stats_2025_002,"A 2025 report from the Iowa Board of Regents indicates that the amount of debt Iowa residents owe upon graduation has declined. The average debt for graduates from Iowa's Regents (public) universities is now $28,140. Additionally, only 45.2% of Iowa resident graduates have any student debt upon graduation.","{""source"": ""Iowa Board of Regents (2025)"", ""state"": ""Iowa"", ""topic"": ""public universities debt"", ""institution_type"": ""public 4-year""}"
iowa_forgiveness_001,"The Iowa Primary Care Provider Loan Repayment Program offers student loan forgiveness for licensed healthcare practitioners (primary care, dental, behavioral, and mental health) working in federally designated health professional shortage areas (HPSAs) in Iowa. It provides up to $50,000 for a 2-year full-time commitment or $25,000 for a part-time commitment.","{""source"": ""State Loan Forgiveness Programs"", ""state"": ""Iowa"", ""topic"": ""loan forgiveness"", ""profession"": ""healthcare""}"
iowa_forgiveness_002,"The Teach Iowa Scholar Program provides student loan forgiveness for teachers serving in Iowa schools within designated shortage areas. Applicants must have graduated in the top 25% of their academic program. The program forgives up to $4,000 annually for a maximum of 5 consecutive years, applying to federal student loans.","{""source"": ""State Loan Forgiveness Programs"", ""state"": ""Iowa"", ""topic"": ""loan forgiveness"", ""profession"": ""teachers""}"
